# Weather station Chofu (airport), Japan, METAR=RJTF,selection from 01.01.2020 till 31.12.2020, all days,,,,,,,,
# Encoding: ANSI,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis""", rp5.ru,,,,,,,,,,,
# If you use the data, please indicate the name of the website.,,,,,,,,,,,
,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Chofu (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
26.12.2020 15:00,11,759,762.8,35,Wind blowing from the south-east,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-4
26.12.2020 14:00,11,759,762.8,30,Wind blowing from the east-southeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-6
26.12.2020 13:00,11,759,762.8,30,Wind blowing from the south-east,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-6
26.12.2020 12:00,10,759.6,763.5,32,Wind blowing from the south,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,-6
26.12.2020 11:00,9,759.6,763.5,37,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-5
26.12.2020 10:00,8,760.4,764.3,43,Wind blowing from the north-northeast,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
26.12.2020 09:00,5,761.1,765,61,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-2
26.12.2020 08:30,3,760.3,764.3,65,Wind blowing from the north-east,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-3
25.12.2020 16:00,11,751.6,755.4,38,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,-3
25.12.2020 15:00,12,750.1,753.9,35,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,-3
25.12.2020 14:00,12,750.1,753.9,38,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,-2
25.12.2020 13:00,13,750.1,753.9,36,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,-2
25.12.2020 12:00,13,750.1,753.9,36,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,-2
25.12.2020 11:00,12,750.8,754.6,38,Wind blowing from the north-east,4,,,,No Significant Clouds,10.0 and more,-2
25.12.2020 10:00,11,751.6,755.4,44,Wind blowing from the north-east,5,,,,No Significant Clouds,10.0 and more,-1
25.12.2020 09:00,9,750.8,754.6,50,Wind blowing from the north-northeast,4,,,,Few clouds (10-30%) 1200 m,10.0 and more,-1
25.12.2020 08:30,8,750.8,754.6,53,Wind blowing from the north,5,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%)",10.0 and more,-1
24.12.2020 16:00,9,753.1,756.9,54,variable wind direction,1,,,,No Significant Clouds,10.0 and more,0
24.12.2020 15:00,10,753.1,756.9,47,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,-1
24.12.2020 14:00,10,753.9,757.7,47,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,-1
24.12.2020 13:00,9,753.9,757.7,50,"Calm, no wind",0,,,,No Significant Clouds,10.0 and more,-1
24.12.2020 12:00,9,754.4,758.2,46,variable wind direction,1,,,,No Significant Clouds,10.0 and more,-2
24.12.2020 11:00,9,755.8,759.7,50,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,-1
24.12.2020 10:00,6,756.6,760.5,61,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,-1
24.12.2020 09:00,5,757.3,761.2,70,variable wind direction,1,,,,No Significant Clouds,10.0 and more,0
23.12.2020 16:00,12,761.2,765,38,Wind blowing from the south-east,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-2
23.12.2020 15:00,13,761.2,765,31,Wind blowing from the east-southeast,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
23.12.2020 14:00,13,761.2,765,31,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
23.12.2020 13:00,13,761.2,765,33,variable wind direction,2,,,,No Significant Clouds,10.0 and more,-3
23.12.2020 12:00,13,761.2,765,33,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,-3
23.12.2020 11:00,12,762,765.8,38,variable wind direction,1,,,,No Significant Clouds,10.0 and more,-2
23.12.2020 10:00,9,762.7,766.6,46,Wind blowing from the south,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-2
23.12.2020 09:00,6,762.7,766.6,57,Wind blowing from the west,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-2
23.12.2020 08:30,4,762.6,766.6,65,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-2
22.12.2020 16:00,10,761.1,765,50,Wind blowing from the south-east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,0
22.12.2020 15:00,11,761.1,765,44,Wind blowing from the south-southeast,4,,,,Few clouds (10-30%) 900 m,10.0 and more,-1
22.12.2020 14:00,12,761.2,765,38,Wind blowing from the south-southeast,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-2
22.12.2020 13:00,11,761.1,765,38,Wind blowing from the south,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-3
22.12.2020 12:00,10,761.9,765.8,37,Wind blowing from the south-east,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
22.12.2020 11:00,9,763.4,767.3,40,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
22.12.2020 10:00,5,764.1,768.1,57,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1500 m",10.0 and more,-3
22.12.2020 09:00,3,764.1,768.1,60,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m",10.0 and more,-4
22.12.2020 08:30,1,764.1,768.1,75,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m",10.0 and more,-3
21.12.2020 16:00,10,761.1,765,24,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-10
21.12.2020 15:00,10,761.1,765,24,Wind blowing from the north-northwest,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-10
21.12.2020 14:00,11,761.1,765,20,Wind blowing from the north-northwest,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-11
21.12.2020 13:00,10,761.1,765,22,Wind blowing from the west,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-11
21.12.2020 12:00,10,761.1,765,22,Wind blowing from the north,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-11
21.12.2020 11:00,8,761.9,765.8,29,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-9
21.12.2020 10:00,7,761.9,765.8,31,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-9
21.12.2020 09:00,4,762.6,766.6,45,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-7
21.12.2020 08:30,3,762.6,766.6,45,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-8
20.12.2020 16:00,7,760.4,764.3,25,Wind blowing from the north,7,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-12
20.12.2020 15:00,9,759.6,763.5,20,Wind blowing from the north,6,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-13
20.12.2020 14:00,9,758.9,762.8,20,Wind blowing from the north-northwest,7,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-13
20.12.2020 13:00,9,758.9,762.8,21,Wind blowing from the north-northwest,8,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-12
20.12.2020 12:00,9,759.6,763.5,23,Wind blowing from the north-northwest,7,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,-11
20.12.2020 11:00,8,760.4,764.3,27,Wind blowing from the north-northwest,7,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-10
20.12.2020 10:00,7,761.1,765,34,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-8
20.12.2020 09:00,5,761.1,765,49,Wind blowing from the north,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-5
20.12.2020 08:30,3,760.3,764.3,56,Wind blowing from the north,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-5
19.12.2020 16:00,8,756.6,760.5,43,variable wind direction,2,,,,No Significant Clouds,10.0 and more,-4
19.12.2020 15:00,9,755.8,759.7,40,variable wind direction,1,,,,No Significant Clouds,10.0 and more,-4
19.12.2020 14:00,9,755.8,759.7,37,Wind blowing from the north-east,2,,,,"Few clouds (10-30%) 1350 m, broken clouds (60-90%) 2100 m",10.0 and more,-5
19.12.2020 13:00,9,755.8,759.7,37,Wind blowing from the north,4,,,,"Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 2400 m, broken clouds (60-90%)",10.0 and more,-5
19.12.2020 12:00,8,756.6,760.5,40,Wind blowing from the north,5,,,,No Significant Clouds,10.0 and more,-5
19.12.2020 11:00,8,757.3,761.2,40,Wind blowing from the north,6,,,,No Significant Clouds,10.0 and more,-5
19.12.2020 10:00,8,757.3,761.2,46,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,-3
19.12.2020 09:00,5,758.1,762,57,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,-3
19.12.2020 08:30,5,758.1,762,57,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,-3
18.12.2020 16:00,10,757.4,761.2,47,Wind blowing from the south,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-1
18.12.2020 15:00,11,757.4,761.2,47,Wind blowing from the south-southeast,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,0
18.12.2020 14:00,11,757.4,761.2,47,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,0
18.12.2020 13:00,12,758.2,762,35,Wind blowing from the south,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,-3
18.12.2020 12:00,11,759,762.8,35,variable wind direction,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-4
18.12.2020 11:00,9,759.6,763.5,32,Wind blowing from the east-northeast,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-7
18.12.2020 10:00,7,761.1,765,39,variable wind direction,1,,,,No Significant Clouds,10.0 and more,-6
18.12.2020 09:00,4,761.1,765,48,variable wind direction,1,,,,No Significant Clouds,10.0 and more,-6
18.12.2020 08:30,2,761,765,56,variable wind direction,1,,,,No Significant Clouds,10.0 and more,-6
17.12.2020 16:00,8,758.1,762,15,Wind blowing from the north-east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-17
17.12.2020 15:00,9,758.1,762,17,Wind blowing from the north,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-15
17.12.2020 14:00,9,757.3,761.2,17,Wind blowing from the south-southwest,2,,,,Few clouds (10-30%) 600 m,10.0 and more,-15
17.12.2020 13:00,9,757.3,761.2,18,variable wind direction,2,,,,Few clouds (10-30%) 600 m,10.0 and more,-14
17.12.2020 12:00,8,757.3,761.2,21,variable wind direction,2,,,,Few clouds (10-30%) 600 m,10.0 and more,-13
17.12.2020 11:00,7,758.1,762,27,variable wind direction,1,,,,Few clouds (10-30%) 600 m,10.0 and more,-11
17.12.2020 10:00,5,758.9,762.8,42,Wind blowing from the east-northeast,1,,,,Few clouds (10-30%) 600 m,10.0 and more,-7
17.12.2020 09:00,3,758.8,762.8,56,variable wind direction,1,,,,Few clouds (10-30%) 600 m,10.0 and more,-5
17.12.2020 08:30,2,758,762,65,variable wind direction,1,,,,Few clouds (10-30%) 600 m,10.0 and more,-4
16.12.2020 16:00,7,753,756.9,31,Wind blowing from the north-northeast,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1500 m",10.0 and more,-9
16.12.2020 15:00,7,753,756.9,31,Wind blowing from the north,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2400 m",10.0 and more,-9
16.12.2020 14:00,8,753,756.9,25,Wind blowing from the north-northeast,4,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2400 m",10.0 and more,-11
16.12.2020 13:00,8,753,756.9,25,Wind blowing from the north,4,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 2400 m",10.0 and more,-11
16.12.2020 12:00,8,753.8,757.7,25,Wind blowing from the east,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 2400 m",10.0 and more,-11
16.12.2020 11:00,8,754.3,758.2,27,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-10
16.12.2020 10:00,7,755.1,759,27,Wind blowing from the north-northeast,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-11
16.12.2020 09:00,5,755.8,759.7,39,Wind blowing from the north-northeast,2,,,,Few clouds (10-30%) 600 m,10.0 and more,-8
16.12.2020 08:30,3,755.8,759.7,48,Wind blowing from the north,1,,,,Few clouds (10-30%) 600 m,10.0 and more,-7
15.12.2020 16:00,9,752.4,756.2,29,Wind blowing from the north,5,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 2400 m",10.0 and more,-8
15.12.2020 15:00,10,752.4,756.2,28,Wind blowing from the north-northeast,6,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 2400 m",10.0 and more,-8
15.12.2020 14:00,11,752.4,756.2,24,Wind blowing from the east-northeast,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 2400 m",10.0 and more,-9
15.12.2020 13:00,10,752.4,756.2,30,variable wind direction,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2400 m",10.0 and more,-7
15.12.2020 12:00,10,753.1,756.9,35,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-5
15.12.2020 11:00,8,753.8,757.7,43,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
15.12.2020 10:00,7,754.3,758.2,49,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-3
15.12.2020 09:00,4,754.3,758.2,61,Wind blowing from the north-northwest,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-3
15.12.2020 08:30,4,754.3,758.2,65,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-2
14.12.2020 16:00,9,752.4,756.2,46,Wind blowing from the north,3,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 1800 m",10.0 and more,-2
14.12.2020 15:00,9,752.4,756.2,43,Wind blowing from the north,4,,"Light shower(s), rain",,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 1500 m",10.0 and more,-3
14.12.2020 14:00,10,751.6,755.4,40,Wind blowing from the north,6,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 1500 m",10.0 and more,-3
14.12.2020 13:00,11,750.1,753.9,41,Wind blowing from the north,6,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 4500 m",10.0 and more,-2
14.12.2020 12:00,12,750.8,754.6,38,Wind blowing from the north,7,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,-2
14.12.2020 11:00,12,751.6,755.4,41,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,-1
14.12.2020 10:00,11,752.4,756.2,50,Wind blowing from the north,5,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,1
14.12.2020 09:00,9,751.6,755.4,62,Wind blowing from the north,4,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,2
13.12.2020 16:00,12,753.1,756.9,44,Wind blowing from the north,5,,,,No Significant Clouds,10.0 and more,0
13.12.2020 15:00,14,753.1,756.9,44,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,2
13.12.2020 14:00,14,752.4,756.2,51,variable wind direction,1,,,,No Significant Clouds,10.0 and more,4
13.12.2020 13:00,14,751.6,755.4,59,Wind blowing from the east-southeast,2,,,,"Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 5100 m, broken clouds (60-90%)",10.0 and more,6
13.12.2020 12:00,13,751.6,755.4,59,Wind blowing from the north,2,,,,"Few clouds (10-30%) 1350 m, broken clouds (60-90%)",10.0 and more,5
13.12.2020 11:00,12,752.4,756.2,67,variable wind direction,1,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%)",10.0 and more,6
13.12.2020 10:00,11,753.1,756.9,72,Wind blowing from the north,3,,,,Few clouds (10-30%) 1050 m,10.0 and more,6
13.12.2020 09:00,9,753.1,756.9,82,Wind blowing from the north,2,,,,Few clouds (10-30%) 900 m,10.0 and more,6
13.12.2020 08:30,8,753,756.9,87,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,6
12.12.2020 16:00,14,749.3,753.1,55,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,5
12.12.2020 15:00,15,749.4,753.1,51,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,5
12.12.2020 14:00,15,749.4,753.1,48,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,4
12.12.2020 13:00,15,749.4,753.1,51,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,5
12.12.2020 12:00,14,750.1,753.9,63,variable wind direction,1,,,,No Significant Clouds,10.0 and more,7
12.12.2020 11:00,13,751.6,755.4,67,variable wind direction,1,,,,No Significant Clouds,10.0 and more,7
12.12.2020 10:00,12,753.1,756.9,72,variable wind direction,1,,,,No Significant Clouds,10.0 and more,7
12.12.2020 09:00,10,753.9,757.7,82,variable wind direction,1,,,,No Significant Clouds,10.0 and more,7
11.12.2020 16:00,13,757.4,761.2,63,Wind blowing from the south-east,3,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1050 m, broken clouds (60-90%)",10.0 and more,6
11.12.2020 15:00,14,757.4,761.2,59,Wind blowing from the east-southeast,3,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1800 m",10.0 and more,6
11.12.2020 14:00,15,756.7,760.5,51,Wind blowing from the south-east,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,5
11.12.2020 13:00,13,757.4,761.2,59,Wind blowing from the south-east,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1350 m, broken clouds (60-90%)",10.0 and more,5
11.12.2020 12:00,12,757.4,761.2,63,Wind blowing from the east-southeast,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 1800 m",10.0 and more,5
11.12.2020 11:00,12,759,762.8,63,variable wind direction,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%)",10.0 and more,5
11.12.2020 10:00,11,759.7,763.5,62,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,4
11.12.2020 09:00,8,759.6,763.5,76,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,4
11.12.2020 08:30,6,759.6,763.5,81,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,3
10.12.2020 16:00,12,757.4,761.2,58,Wind blowing from the north-northeast,2,,,,"Few clouds (10-30%) 750 m, broken clouds (60-90%)",10.0 and more,4
10.12.2020 15:00,12,757.4,761.2,58,Wind blowing from the north-northeast,3,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%)",10.0 and more,4
10.12.2020 14:00,12,757.4,761.2,58,Wind blowing from the north,4,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m",10.0 and more,4
10.12.2020 13:00,12,758.2,762,54,Wind blowing from the north,4,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 900 m",10.0 and more,3
10.12.2020 12:00,11,759,762.8,54,Wind blowing from the north,4,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 900 m",10.0 and more,2
