# Weather station Washington / Ronald Reagan (airport), USA, WMO_ID=72405,selection from 01.01.2020 till 01.01.2021, all days,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: ANSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis""", rp5.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,
# If you use the data, please indicate the name of the website.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Washington / Ronald Reagan (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.12.2020 10:00,2.8,773.2,774.8,-0.6,52,Wind blowing from the south,6,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-6.1,,,,,,
30.12.2020 07:00,0,773.8,775.3,-0.5,64,Wind blowing from the south-southwest,3,,,70 � 80%., ,,,0,,,,"2500 or more, or no clouds.",,,16,-6.1,,,,,,
30.12.2020 04:00,1.1,774.3,775.9,-1,54,"Calm, no wind",0,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-7.2,,,,,,
30.12.2020 01:00,1.1,775.3,776.9,0,52,Wind blowing from the north-northeast,3,,,70 � 80%., ,,,0,5.6,,,"2500 or more, or no clouds.",,,16,-7.8,,,,,,
29.12.2020 22:00,1.1,775.3,776.8,0.8,50,Wind blowing from the north-northwest,2,,,no clouds, ,,,,,,,,,,16,-8.3,,,,,,
29.12.2020 19:00,1.7,774.5,776.2,0.7,46,Wind blowing from the north,3,,,no clouds, ,,,1.1,6.1,,,,,,16,-8.9,,,,,,
29.12.2020 16:00,5,773.8,775.3,0,33,Wind blowing from the north-west,7,,,20�30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-10,,,,,,
29.12.2020 13:00,5.6,773.8,775.3,-0.5,28,Wind blowing from the north-west,8,11,,20�30%., ,,,3.9,5.6,,,1500-2000,,,16,-11.7,,,,,,
29.12.2020 10:00,5,774.3,775.8,3.1,39,Wind blowing from the north-northwest,9,11,,50%., ,,,,,,,1500-2000,,,16,-7.8,,,,,,
29.12.2020 07:00,4.4,771.2,772.9,2.5,51,Wind blowing from the north-west,5,,,70 � 80%., ,,,3.9,11.1,,,1500-2000,,,16,-5,,,,,,
29.12.2020 04:00,4.4,768.7,770.4,1.5,60,Wind blowing from the north-northwest,6,10,,no clouds, ,,,,,,,,,,16,-2.8,,,,,,
29.12.2020 01:00,5.6,767.2,768.7,1.5,58,Wind blowing from the north-northwest,4,,,no clouds, ,,,1.7,8.3,,,,,,16,-2.2,,,,,,
28.12.2020 22:00,6.7,765.7,767.4,1.3,73,"Calm, no wind",0,,,100%., ,,,,,,,1500-2000,,,16,2.2,,,,,,
28.12.2020 19:00,6.7,764.4,766.1,1,73,Wind blowing from the south,3,,,20�30%., ,,,1.7,11.1,,,"2500 or more, or no clouds.",,,16,2.2,,,,,,
28.12.2020 16:00,10,763.4,765,-0.2,57,Wind blowing from the south,5,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,1.7,,,,,,
28.12.2020 13:00,8.9,763.6,765.3,-1.5,56,Wind blowing from the south,6,,,20�30%., ,,,2.2,8.9,,,"2500 or more, or no clouds.",,,16,0.6,,,,,,
28.12.2020 10:00,6.7,765.1,766.7,0.2,53,Wind blowing from the south-southwest,6,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-2.2,,,,,,
28.12.2020 07:00,3.3,764.9,766.5,-0.5,68,Wind blowing from the south,5,,,100%., ,,,1.7,,,,"2500 or more, or no clouds.",,,16,-2.2,,,,,,
28.12.2020 04:00,3.3,765.4,766.9,-1.3,76,Wind blowing from the south-southwest,4,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-0.6,,,,,,
28.12.2020 01:00,2.8,766.7,768.2,-1.2,82,Wind blowing from the south,4,,,100%., ,,,-3.2,2.8,,,"2500 or more, or no clouds.",,,16,0,,,,,,
27.12.2020 22:00,2.8,767.9,769.6,-0.3,73,Wind blowing from the south,5,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-1.7,,,,,,
27.12.2020 19:00,2.2,768.2,769.8,0.3,62,Wind blowing from the south-southeast,3,,,100%., ,,,-3.2,6.1,,,"2500 or more, or no clouds.",,,16,-4.4,,,,,,
27.12.2020 16:00,5.6,767.9,769.5,-0.5,49,Wind blowing from the south,4,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-4.4,,,,,,
27.12.2020 13:00,3.9,768.4,770.1,-0.8,46,Wind blowing from the south,3,,,50%., ,,,-3.3,4.4,,,"2500 or more, or no clouds.",,,16,-6.7,,,,,,
27.12.2020 10:00,1.7,769.2,770.9,1.3,57,"Calm, no wind",0,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,-6.1,,,,,,
27.12.2020 07:00,-2.2,767.9,769.6,2,66,Wind blowing from the south-southwest,2,,,70 � 80%., ,,,-3.3,2.8,,,"2500 or more, or no clouds.",,,16,-7.8,,,,,,
27.12.2020 04:00,-1.1,765.9,767.5,1.3,61,"Calm, no wind",0,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-7.8,,,,,,
27.12.2020 01:00,-1.7,764.6,766.2,1,58,Wind blowing from the north,3,,,70 � 80%., ,,,-5,1.7,,,"2500 or more, or no clouds.",,,16,-8.9,,,,,,
26.12.2020 22:00,-0.6,763.6,765.1,1.8,52,Wind blowing from the north-northwest,4,,,20�30%., ,,,,,,,1500-2000,,,16,-9.4,,,,,,
26.12.2020 19:00,1.1,761.8,763.5,1.2,46,Wind blowing from the west,2,,,70 � 80%., ,,,-4.9,2.8,,,1500-2000,,,16,-9.4,,,,,,
26.12.2020 16:00,2.2,760.6,762.1,-0.3,37,Wind blowing from the west,5,,,70 � 80%., ,,,,,,,1500-2000,,,16,-11.1,,,,,,
26.12.2020 13:00,1.1,760.9,762.4,-1.5,38,Wind blowing from the west,4,,,50%., ,,,-5,1.1,,,1500-2000,,,16,-11.7,,,,,,
26.12.2020 10:00,-2.2,762.4,763.9,0.8,44,Wind blowing from the west-southwest,5,,,20�30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-12.8,,,,,,
26.12.2020 07:00,-4.4,761.6,763.3,0.7,52,Wind blowing from the south-west,4,,,20�30%., ,,,-5,,,,"2500 or more, or no clouds.",,,16,-12.8,,,,,,
26.12.2020 04:00,-3.9,760.9,762.4,1.1,46,Wind blowing from the west-southwest,4,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-13.9,,,,,,
26.12.2020 01:00,-5,759.8,761.5,0.5,55,Wind blowing from the west-southwest,3,,,20�30%., ,,,-5,,,,"2500 or more, or no clouds.",,,16,-12.8,,,,,,
25.12.2020 22:00,-3.3,759.3,760.9,1.7,48,Wind blowing from the west,4,9,,70 � 80%., ,,,,,,,2000-2500,,,16,-12.8,,,,,,
25.12.2020 19:00,-2.2,757.6,759.1,3.6,44,Wind blowing from the west,7,12,,70 � 80%., ,,,-2.2,2.2,,,1500-2000,,,16,-12.8,,,,,,
25.12.2020 16:00,0,754,755.5,1.5,52,Wind blowing from the west-northwest,4,9,,70 � 80%., ,,,,,,,1500-2000,,,16,-8.9,,,,,,
25.12.2020 13:00,0,752.5,754,0.8,59,Wind blowing from the north-west,6,9,,100%., ,,,0,12.8,,,1000-1500,,,16,-7.2,Trace of precipitation,6,,,,
25.12.2020 10:00,1.1,751.7,753.3,2.8,64,Wind blowing from the north-west,7,12,,100%., ,,,,,,,600-1000,,,16,-5,,,,,,
25.12.2020 07:00,2.2,748.9,750.5,2.3,79,Wind blowing from the north-west,5,10,,100%., ,,,2.2,16.7,,,600-1000,,,16,-1.1,4,6,,,,
25.12.2020 04:00,5.6,746.6,748.3,1,89,Wind blowing from the north-northwest,5,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,300-600,,,11,3.9,2,3,,,,
25.12.2020 01:00,12.2,745.6,747.3,-1.3,93,Wind blowing from the south,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,16.7,,,"2500 or more, or no clouds.",,,16,11.1,18,6,,,,
24.12.2020 22:00,15.6,746.9,748.6,-4.3,93,Wind blowing from the south-southeast,8,11,,100%., ,,,,,,,300-600,,,16,14.4,10,3,,,,
24.12.2020 19:00,15,751.2,752.8,-1.8,93,Wind blowing from the south,5,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,5.6,16.1,,,300-600,,,9,13.9,15,6,,,,
24.12.2020 16:00,15,753,754.7,-3.5,87,Wind blowing from the south-east,6,10,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,600-1000,,,6,12.8,4,3,,,,
24.12.2020 13:00,15.6,756.5,758.1,-3.3,78,Wind blowing from the south-southeast,5,9,,100%., ,,,5.6,15.6,,,600-1000,,,16,11.7,1,6,,,,
24.12.2020 10:00,13.9,759.8,761.5,-1.8,74,Wind blowing from the south,6,,,100%., ,,,,,,,1000-1500,,,16,9.4,Trace of precipitation,3,,,,
24.12.2020 07:00,7.2,761.6,763.2,-2,83,Wind blowing from the north,2,,,100%., ,,,5,8.9,,,1000-1500,,,16,4.4,,,,,,
24.12.2020 04:00,6.1,763.6,765.2,-2.1,82,Wind blowing from the north-east,3,,,100%., ,,,,,,,1500-2000,,,16,3.3,,,,,,
24.12.2020 01:00,6.7,765.7,767.3,-1.5,73,Wind blowing from the south,3,,,100%., ,,,,7.2,,,1000-1500,,,16,2.2,,,,,,
23.12.2020 22:00,6.1,767.2,768.7,-1,74,Wind blowing from the south-southeast,4,,,no clouds, ,,,,,,,,,,16,1.7,,,,,,
23.12.2020 19:00,5.6,768.2,769.9,-0.2,73,Wind blowing from the south,4,,,70 � 80%., ,,,0,8.9,,,"2500 or more, or no clouds.",,,16,1.1,,,,,,
23.12.2020 16:00,8.3,768.4,770.2,-1.1,59,Wind blowing from the south,5,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,0.6,,,,,,
23.12.2020 13:00,8.3,769.5,771,-2.5,54,Wind blowing from the south,5,,,100%., ,,,0.6,8.9,,,"2500 or more, or no clouds.",,,16,-0.6,,,,,,
23.12.2020 10:00,3.9,772,773.6,1.2,73,Wind blowing from the south,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-0.6,,,,,,
23.12.2020 07:00,0.6,770.8,772.3,1.3,82,Wind blowing from the south-west,2,,,70 � 80%., ,,,0,10.6,,,"2500 or more, or no clouds.",,,16,-2.2,,,,,,
23.12.2020 04:00,1.1,769.5,771.1,1.3,82,Wind blowing from the south-southwest,2,,,20�30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-1.7,,,,,,
23.12.2020 01:00,3.9,768.2,769.8,0.3,67,Wind blowing from the south-southwest,3,,,20�30%., ,,,3.3,7.2,,,"2500 or more, or no clouds.",,,16,-1.7,,,,,,
22.12.2020 22:00,6.7,767.9,769.4,2,53,Wind blowing from the west,4,,,20�30%., ,,,,,,,1500-2000,,,16,-2.2,,,,,,
22.12.2020 19:00,6.7,765.9,767.5,2.5,55,Wind blowing from the west,5,,,20�30%., ,,,3.9,10.6,,,1500-2000,,,16,-1.7,,,,,,
22.12.2020 16:00,9.4,763.4,765,2.5,46,Wind blowing from the west-northwest,4,12,,50%., ,,,,,,,1500-2000,,,16,-1.7,,,,,,
22.12.2020 13:00,10,760.9,762.6,1.6,50,Wind blowing from the west-northwest,11,18,,70 � 80%., ,,,5.6,10,,,1000-1500,,,16,0,,,,,,
22.12.2020 10:00,8.9,759.3,760.9,3,58,Wind blowing from the west-northwest,8,13,,50%., ,,,,,,,1500-2000,,,16,1.1,,,,,,
22.12.2020 07:00,6.7,756.3,757.9,1.8,68,Wind blowing from the west-southwest,6,,,70 � 80%., ,,,3.9,7.8,,,1500-2000,,,16,1.1,Trace of precipitation,6,,,,
22.12.2020 04:00,5.6,754.5,756,0.5,79,Wind blowing from the south-southwest,3,,,100%., ,,,,,,,2000-2500,,,16,2.2,Trace of precipitation,3,,,,
22.12.2020 01:00,5.6,754,755.6,-0.3,96,Wind blowing from the south-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,4.4,6.7,,,1000-1500,,,11,5,1,6,,,,
21.12.2020 22:00,6.7,754.3,755.8,-0.5,89,Wind blowing from the south-southwest,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1000-1500,,,11,5,0.8,3,,,,
21.12.2020 19:00,5.6,754.8,756.4,-0.4,82,Wind blowing from the south,4,,,70 � 80%., ,,,4.4,7.8,,,"2500 or more, or no clouds.",,,16,2.8,,,,,,
21.12.2020 16:00,7.2,755.2,756.9,-1.3,74,Wind blowing from the south,3,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,2.8,,,,,,
21.12.2020 13:00,7.2,756.5,758.2,-2,80,Wind blowing from the south,4,,,70 � 80%., ,,,4.4,7.2,,,300-600,,,14,3.9,,,,,,
21.12.2020 10:00,5.6,758.5,760.3,0.2,85,Wind blowing from the south-southeast,2,,,100%.,Mist. ,,,,,,,200-300,,,8,3.3,,,,,,
21.12.2020 07:00,4.4,758.3,759.9,-0.2,93,Wind blowing from the south,2,,,100%., ,,,3.9,,,,200-300,,,11,3.3,,,,,,
21.12.2020 04:00,4.4,758.5,760.2,-0.6,89,Wind blowing from the west-southwest,2,,,100%., ,,,,,,,200-300,,,12,2.8,,,,,,
21.12.2020 01:00,4.4,759.1,760.7,-1.2,89,Wind blowing from the south,3,,,100%., ,,,1.7,5.6,,,300-600,,,14,2.8,,,,,,
20.12.2020 22:00,5,760.3,761.8,-0.8,86,"Calm, no wind",0,,,100%., ,,,,,,,300-600,,,16,2.8,,,,,,
20.12.2020 19:00,5,761.1,762.7,-0.3,86,Wind blowing from the south,3,,,100%., ,,,1.7,6.7,,,300-600,,,16,2.8,,,,,,
20.12.2020 16:00,6.1,761.4,762.9,-0.7,80,Wind blowing from the south,3,,,70 � 80%., ,,,,,,,600-1000,,,16,2.8,,,,,,
20.12.2020 13:00,6.7,762.1,763.7,-2.1,71,Wind blowing from the south,4,,,100%., ,,,2.2,6.7,,,600-1000,,,16,1.7,Trace of precipitation,6,,,,
20.12.2020 10:00,4.4,764.2,765.7,-0.9,79,Wind blowing from the south-southwest,6,,,100%., ,,,,,,,1500-2000,,,16,1.1,Trace of precipitation,3,,,,
20.12.2020 07:00,3.3,765.1,766.7,-0.3,79,Wind blowing from the south-southeast,2,,,100%., ,,,1.1,3.3,,,2000-2500,,,16,0,,,,,,
20.12.2020 04:00,2.8,765.4,767.1,-1.5,79,Wind blowing from the south,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-0.6,,,,,,
20.12.2020 01:00,1.7,766.9,768.4,-1,82,Wind blowing from the south-southwest,3,,,100%., ,,,,2.2,,,"2500 or more, or no clouds.",,,16,-1.1,,,,,,
19.12.2020 22:00,1.1,767.9,769.6,-0.5,76,Wind blowing from the south-southeast,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-2.8,,,,,,
19.12.2020 19:00,2.2,768.4,770,-1.3,70,Wind blowing from the south-east,3,,,100%., ,,,-2.1,2.8,,,"2500 or more, or no clouds.",,,16,-2.8,,,,,,
19.12.2020 16:00,2.8,769.7,771.3,-0.5,67,Wind blowing from the south-southeast,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-2.8,,,,,,
19.12.2020 13:00,2.2,770.2,771.7,-1.8,70,Wind blowing from the south-southeast,3,,,70 � 80%., ,,,-2.2,2.2,,,"2500 or more, or no clouds.",,,16,-2.8,,,,,,
19.12.2020 10:00,0,772,773.6,0.3,75,"Calm, no wind",0,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-3.9,,,,,,
19.12.2020 07:00,-1.1,771.7,773.3,0,69,"Calm, no wind",0,,,70 � 80%., ,,,-2.2,3.9,,,"2500 or more, or no clouds.",,,16,-6.1,,,,,,
19.12.2020 04:00,-1.7,771.7,773.3,0.5,72,Wind blowing from the north-northwest,2,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-6.1,,,,,,
19.12.2020 01:00,-0.6,771.2,772.8,0,72,Wind blowing from the north-east,5,,,50%., ,,,-1.7,2.8,,,"2500 or more, or no clouds.",,,16,-5,,,,,,
18.12.2020 22:00,0,771.2,772.9,0.2,73,Wind blowing from the north-northwest,3,,,50%., ,,,,,,,1000-1500,,,16,-4.4,,,,,,
18.12.2020 19:00,2.8,771,772.5,1.5,73,Wind blowing from the north-northwest,3,,,100%., ,,,0.6,3.9,,,1000-1500,,,16,-1.7,,,,,,
18.12.2020 16:00,3.3,769.5,771.1,0.3,70,Wind blowing from the north,3,,,100%., ,,,,,,,1000-1500,,,16,-1.7,,,,,,
18.12.2020 13:00,2.8,769.2,770.9,0,67,Wind blowing from the north,2,,,100%., ,,,0.6,2.8,,,1000-1500,,,16,-2.8,,,,,,
18.12.2020 10:00,1.7,769.2,770.9,1.7,72,Wind blowing from the north,3,,,100%., ,,,,,,,600-1000,,,16,-2.8,,,,,,
18.12.2020 07:00,0.6,767.5,769.1,1.3,75,Wind blowing from the north,5,,,100%., ,,,0.6,,,,600-1000,,,16,-3.3,Trace of precipitation,6,,,,
18.12.2020 04:00,1.1,766.2,767.8,1.1,76,Wind blowing from the north-northwest,4,,,100%.,"Continuous fall of snowflakes, slight at time of observation. ",,,,,,,1000-1500,,,12,-2.8,Trace of precipitation,3,,,,
18.12.2020 01:00,1.7,765.1,766.7,0.5,72,Wind blowing from the north,2,,,100%., ,,,-2.1,2.2,,,1500-2000,,,16,-2.8,,,,,,
17.12.2020 22:00,2.2,764.6,766.2,1.2,67,Wind blowing from the north-northeast,3,,,100%., ,,,,,,,1000-1500,,,16,-3.3,,,,,,
17.12.2020 19:00,1.1,763.4,765,2,79,Wind blowing from the north-northwest,3,,,20�30%., ,,,-2.1,5,,,600-1000,,,16,-2.2,,,,,,
17.12.2020 16:00,3.3,761.4,763,0.8,68,Wind blowing from the north-northwest,5,,,20�30%., ,,,,,,,1000-1500,,,16,-2.2,,,,,,
17.12.2020 13:00,3.9,760.6,762.2,-0.8,62,Wind blowing from the north,4,,,20�30%., ,,,-2.2,3.9,,,1000-1500,,,16,-2.8,,,,,,
17.12.2020 10:00,0.6,761.4,762.8,2.1,72,Wind blowing from the north-northwest,5,,,20�30%., ,,,,,,,1000-1500,,,16,-3.9,,,,,,
17.12.2020 07:00,-2.2,759.3,760.9,1.7,81,Wind blowing from the north-northwest,5,10,,50%., ,,,-2.2,2.8,,,300-600,,,16,-5,Trace of precipitation,6,,,,
17.12.2020 04:00,-1.1,757.6,759.2,1.8,82,Wind blowing from the north-northwest,8,10,,20�30%., ,,,,,,,300-600,,,16,-3.9,Trace of precipitation,3,,,,
17.12.2020 01:00,0,755.8,757.3,0.6,88,Wind blowing from the north-northwest,7,,,100%.,"Continuous fall of snowflakes, slight at time of observation. ",,,0,2.8,,,300-600,,,9,-1.7,8,6,,,,
16.12.2020 22:00,2.2,755.2,756.8,-0.9,89,Wind blowing from the north-west,9,15,,100%.,"Continuous fall of snowflakes, moderate at time of observation. ",,,,,,,300-600,,,3.2,0.6,5,3,,,,
16.12.2020 19:00,2.8,756.1,757.5,-3,93,Wind blowing from the north-northeast,7,12,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,0,2.8,,,300-600,,,8,1.7,18,6,,,,
16.12.2020 16:00,1.7,759.1,760.6,-4.3,89,Wind blowing from the north-east,9,12,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,200-300,,,8,0,9,3,,,,
16.12.2020 13:00,0,763.4,765,-3.3,88,Wind blowing from the north-northeast,7,,,100%.,Ice pellets ,,,0,0.6,,,300-600,,,6,-1.7,3,6,,,,
16.12.2020 10:00,0.6,766.7,768.3,-1.7,66,Wind blowing from the north-east,6,,,100%., ,,,,,,,1000-1500,,,16,-5,,,,,,
16.12.2020 07:00,0,768.4,769.9,-0.8,66,Wind blowing from the north-northeast,4,,,100%., ,,,0,6.1,,,1000-1500,,,16,-5.6,,,,,,
16.12.2020 04:00,0,769.2,770.7,0.5,69,Wind blowing from the north-northeast,4,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-5,,,,,,
16.12.2020 01:00,0.6,768.7,770.4,-0.5,70,Wind blowing from the east-northeast,4,,,100%., ,,,0,3.3,,,"2500 or more, or no clouds.",,,16,-4.4,,,,,,
15.12.2020 22:00,1.7,769.2,770.7,0,59,Wind blowing from the east-northeast,3,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-5.6,,,,,,
15.12.2020 19:00,3.3,769.2,770.9,0,52,Wind blowing from the north-northeast,4,,,70 � 80%., ,,,0,6.1,,,"2500 or more, or no clouds.",,,16,-5.6,,,,,,
15.12.2020 16:00,4.4,769.2,770.8,0.2,45,Wind blowing from the north-west,4,,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-6.7,,,,,,
15.12.2020 13:00,5.6,769,770.6,-0.9,43,Wind blowing from the north-west,3,,,100%., ,,,0.6,5.6,,,"2500 or more, or no clouds.",,,16,-6.1,,,,,,
15.12.2020 10:00,3.3,769.9,771.5,0.9,48,Wind blowing from the north-west,6,,,no clouds, ,,,,,,,,,,16,-6.7,,,,,,
15.12.2020 07:00,0.6,769,770.4,1.5,56,Wind blowing from the north-northwest,4,,,70 � 80%., ,,,0,7.8,,,"2500 or more, or no clouds.",,,16,-7.2,,,,,,
15.12.2020 04:00,1.1,767.5,768.9,1.6,61,Wind blowing from the north-northwest,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,-5.6,,,,,,
15.12.2020 01:00,2.2,765.9,767.5,2.3,57,Wind blowing from the north-northwest,2,,,20�30%., ,,,2.2,7.8,,,1000-1500,,,16,-5.6,,,,,,
14.12.2020 22:00,5,763.6,765.4,2.5,62,Wind blowing from the north-west,5,,,70 � 80%., ,,,,,,,1000-1500,,,16,-1.7,,,,,,
14.12.2020 19:00,4.4,761.1,762.7,2.3,68,Wind blowing from the north-northwest,7,,,70 � 80%., ,,,4.4,5.6,,,1000-1500,,,16,-1.1,1,6,,,,
14.12.2020 16:00,5.6,758.8,760.3,1.2,79,Wind blowing from the north-west,7,13,,70 � 80%., ,,,,,,,300-600,,,16,2.2,1,3,,,,
14.12.2020 13:00,5,757.6,759.1,-1.5,86,Wind blowing from the north,7,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,5,7.8,,,300-600,,,9,2.8,23,6,,,,
14.12.2020 10:00,5.6,759.1,760.6,-0.2,89,Wind blowing from the north-northeast,5,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,300-600,,,6,3.9,11,3,,,,
14.12.2020 07:00,6.1,759.3,760.8,-1.6,86,Wind blowing from the east-northeast,3,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,6.1,,,,1000-1500,,,6,3.9,3,6,,,,
14.12.2020 04:00,7.2,760.9,762.4,-0.7,71,Wind blowing from the east-northeast,3,,,100%., ,,,,,,,1500-2000,,,16,2.2,,,,,,
14.12.2020 01:00,7.8,761.6,763.3,-0.2,68,Wind blowing from the north,4,,,100%., ,,,6.7,12.2,,,"2500 or more, or no clouds.",,,16,2.2,,,,,,
13.12.2020 22:00,8.3,761.8,763.5,0,66,Wind blowing from the north-northeast,4,,,50%., ,,,,,,,2000-2500,,,16,2.2,,,,,,
13.12.2020 19:00,10,761.8,763.6,0.9,61,Wind blowing from the north-northwest,3,,,50%., ,,,9.4,18.9,,,1500-2000,,,16,2.8,,,,,,
13.12.2020 16:00,15.6,760.9,762.5,0.8,50,Wind blowing from the north-northwest,6,,,70 � 80%., ,,,,,,,1500-2000,,,16,5,,,,,,
13.12.2020 13:00,18.3,760.1,761.8,-1,54,Wind blowing from the north,5,,,70 � 80%., ,,,8.9,18.3,,,1000-1500,,,16,8.9,,,,,,
13.12.2020 10:00,12.8,761.1,762.7,1.3,77,Wind blowing from the south,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,8.9,,,,,,
13.12.2020 07:00,10,759.8,761.5,0.5,86,Wind blowing from the south,2,,,20�30%., ,,,9.4,,,,"2500 or more, or no clouds.",,,16,7.8,,,,,,
13.12.2020 04:00,10,759.3,760.9,0.5,83,Wind blowing from the south,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,7.2,,,,,,
13.12.2020 01:00,12.2,758.8,760.5,-0.5,77,Wind blowing from the south-southwest,4,,,70 � 80%., ,,,4.4,13.9,,,"2500 or more, or no clouds.",,,16,8.3,Trace of precipitation,6,,,,
12.12.2020 22:00,11.7,759.3,760.9,0.2,74,Wind blowing from the south,5,,,100%., ,,,,,,,2000-2500,,,16,7.2,,,,,,
